,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전체,건강증진과,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
합  계,"287,200","2,155","10,873","12,637","7,955","8,313","9,404","9,830","7,707","10,422","7,588","6,392","10,331","9,466","8,498","15,447","9,683","14,348","10,277","6,943","13,822","8,331","10,516","16,498","30,304","17,749","11,711"
국민건강증진법,,,,,,,,,,,,,,,,,,,,,,,,,,,
(실내 공중이용시설 등),"269,794",,"10,634","12,416","7,602","7,716","9,010","9,368","7,202","9,596","6,825","5,916","9,505","9,021","8,187","14,705","9,130","13,469","9,544","6,661","12,974","7,677","10,056","15,402","29,426","16,597","11,155"
"시, 자치구 조례",,,,,,,,,,,,,,,,,,,,,,,,,,,
(실외 공공장소),"17,406","2,155",239,221,353,597,394,462,505,826,763,476,826,445,311,742,553,879,733,282,848,654,460,"1,096",878,"1,152",556
