금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
쌍문역,출입구 10M이내,서울특별시,서울특별시 도봉구,지하철 역사,국민건강증진법 제9조,,100000,02-2091-4428,서울특별시 도봉구 도봉로 486-1,,서울 메트로,37.6482236,127.0343875,2018-05-15
창동역,출입구 10M이내,서울특별시,서울특별시 도봉구,지하철 역사,국민건강증진법 제9조,,100000,02-2091-4428,서울특별시 도봉구 노해로63길77,,서울 메트로,37.65318,127.047663,2018-05-15
녹천역,출입구 10M이내,서울특별시,서울특별시 도봉구,지하철 역사,국민건강증진법 제9조,,100000,02-2091-4428,서울특별시 도봉구 마들로5길 376,,서울 메트로,37.644599,127.051406,2018-05-15
방학역,출입구 10M이내,서울특별시,서울특별시 도봉구,지하철 역사,국민건강증진법 제9조,,100000,02-2091-4428,서울특별시 도봉구 도봉로150가길3,,서울 메트로,37.66747,127.044295,2018-05-15
도봉역,출입구 10M이내,서울특별시,서울특별시 도봉구,지하철 역사,국민건강증진법 제9조,,100000,02-2091-4428,서울특별시 도봉구 도봉로152가길2,,서울 메트로,37.679441,127.045521,2018-05-15
도봉산역,출입구 10M이내,서울특별시,서울특별시 도봉구,지하철 역사,국민건강증진법 제9조,,100000,02-2091-4428,서울특별시 도봉구 도봉로180가길 964-33,,서울 메트로,37.689603,127.046347,2018-05-15
